Data File Name,2100 expert_Eukaryote Total RNA Nano_DE34903936_2012-01-05_10-52-58.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\data\bef\2012-01-05
Date Created,"Thursday, January 05, 2012 4:52:58 PM"
Date Last Modified,"Thursday, January 05, 2012 5:16:02 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,12
 
Sample Name,Sample 3
Number of Events,1060
 
Time,Value
17,-0.0802086
17.05,-7.488409E-02
17.1,-6.562042E-02
17.15,-5.139871E-02
17.2,-0.0517143
17.25,-5.217711E-02
17.3,-6.422418E-02
17.35,-5.408632E-02
17.4,-0.0538667
17.45,-4.413222E-02
17.5,-4.509917E-02
17.55,-5.505077E-02
17.6,3.077062E-02
17.65,0.1586999
17.7,0.1993333
17.75,0.1453593
17.8,5.426235E-02
17.85,-3.450735E-02
17.9,-9.255773E-02
17.95,-8.584313E-02
18,-2.457428E-02
18.05,-7.045232E-02
18.1,-7.576599E-02
18.15,-7.126056E-02
18.2,-5.832319E-02
18.25,-5.787549E-02
18.3,-2.550972E-02
18.35,2.431961E-02
18.4,3.970257E-02
18.45,4.173274E-02
18.5,1.759686E-02
18.55,-2.254356E-02
18.6,-5.816058E-02
18.65,-0.0518811
18.7,-2.678256E-02
18.75,-0.0405062
18.8,-3.266215E-02
18.85,-4.190666E-02
18.9,-5.470276E-02
18.95,-5.787834E-02
19,-5.992936E-02
19.05,-4.325936E-02
19.1,-2.429129E-02
19.15,2.136629E-02
19.2,2.809476E-02
19.25,5.538472E-03
19.3,-2.082901E-02
19.35,-0.0482098
19.4,-6.576089E-02
19.45,-5.424546E-02
19.5,-2.580158E-02
19.55,-2.490819E-02
19.6,-3.051235E-02
19.65,-1.483904E-02
19.7,3.153759E-04
19.75,2.911005E-04
19.8,2.874374E-03
19.85,-5.839473E-03
19.9,-7.768168E-03
19.95,-9.660902E-03
20,-2.596888E-03
20.05,6.328027E-03
20.1,-0.0126687
20.15,-3.668888E-02
20.2,-5.236154E-02
20.25,-5.937955E-02
20.3,-5.860329E-02
20.35,-6.068951E-02
20.4,-5.468559E-02
20.45,-5.812341E-02
20.5,-6.162728E-02
20.55,-0.0650053
20.6,-7.764819E-02
20.65,-7.315971E-02
20.7,-0.0551995
20.75,-2.609924E-02
20.8,1.451933E-02
20.85,3.753662E-03
20.9,-1.306587E-02
20.95,-3.173323E-02
21,-3.427505E-02
21.05,-3.916675E-02
21.1,-3.682525E-02
21.15,-2.549458E-02
21.2,-3.222265E-02
21.25,-4.619707E-02
21.3,-4.591942E-02
21.35,-4.188468E-02
21.4,-4.396564E-02
21.45,-2.248746E-02
21.5,2.937431E-02
21.55,0.0255287
21.6,1.724243E-03
21.65,-2.444156E-02
21.7,-4.916277E-02
21.75,-6.778749E-02
21.8,-7.224862E-02
21.85,-5.510556E-02
21.9,-3.789516E-02
21.95,-3.435783E-02
22,-2.685104E-02
22.05,-3.686871E-02
22.1,-5.895563E-02
22.15,-7.724532E-02
22.2,7.922391E-03
22.25,0.413081
22.3,1.293821
22.35,2.6519
22.4,4.160378
22.45,5.288617
22.5,5.613918
22.55,4.93178
22.6,3.646848
22.65,2.258051
22.7,1.133791
22.75,0.4187231
22.8,5.582696E-02
22.85,-5.826199E-02
22.9,-8.240518E-02
22.95,-8.095236E-02
23,-6.739394E-02
23.05,-6.503258E-02
23.1,-7.171704E-02
23.15,-7.056488E-02
23.2,-0.0479303
23.25,-4.208088E-02
23.3,-3.520008E-02
23.35,-4.230734E-02
23.4,-4.348373E-02
23.45,-4.445393E-02
23.5,-1.847151E-02
23.55,5.87609E-03
23.6,2.560495E-02
23.65,4.101585E-02
23.7,4.837263E-02
23.75,3.417793E-02
23.8,1.360751E-02
23.85,4.755113E-03
23.9,9.980049E-03
23.95,1.010323E-02
24,8.270891E-03
24.05,1.238718E-02
24.1,-4.511105E-04
24.15,-0.0209233
24.2,-2.951103E-02
24.25,-3.349788E-02
24.3,-3.546715E-02
24.35,-3.610667E-02
24.4,-1.900734E-02
24.45,-4.681833E-03
24.5,3.709979E-03
24.55,-5.254895E-04
24.6,2.739151E-03
24.65,1.764588E-02
24.7,3.768378E-02
24.75,4.496765E-02
24.8,4.521775E-02
24.85,4.184362E-02
24.9,3.827159E-02
24.95,4.221753E-02
25,4.688283E-02
25.05,4.793549E-02
25.1,4.827563E-02
25.15,4.438066E-02
25.2,3.287506E-02
25.25,3.364344E-02
25.3,4.790758E-02
25.35,6.788572E-02
25.4,7.553138E-02
25.45,6.502651E-02
25.5,0.0587794
25.55,4.950219E-02
25.6,5.084946E-02
25.65,7.166386E-02
25.7,0.0852816
25.75,8.496209E-02
25.8,7.880862E-02
25.85,6.562212E-02
25.9,6.783185E-02
25.95,7.930223E-02
26,8.264671E-02
26.05,7.896619E-02
26.1,7.859039E-02
26.15,6.878996E-02
26.2,7.156378E-02
26.25,5.560875E-02
26.3,4.257486E-02
26.35,1.148127E-02
26.4,-1.704712E-02
26.45,-2.223583E-02
26.5,-7.424121E-04
26.55,4.510984E-02
26.6,8.070302E-02
26.65,0.0985114
26.7,0.1084043
26.75,0.1236862
26.8,0.1592501
26.85,0.2109776
26.9,0.2449186
26.95,0.2426287
27,0.2087135
27.05,0.1546907
27.1,0.1190817
27.15,8.916234E-02
27.2,6.487684E-02
27.25,3.889435E-02
27.3,2.806396E-02
27.35,6.830798E-02
27.4,0.205868
27.45,0.4939858
27.5,0.9492443
27.55,1.459515
27.6,1.869046
27.65,2.048552
27.7,1.930294
27.75,1.598562
27.8,1.166811
27.85,0.8010564
27.9,0.5384789
27.95,0.3646908
28,0.2726292
28.05,0.2112409
28.1,0.1937858
28.15,0.2091131
28.2,0.2306857
28.25,0.2594336
28.3,0.2870164
28.35,0.3112272
28.4,0.3301905
28.45,0.3367326
28.5,0.3194367
28.55,0.2886175
28.6,0.2609428
28.65,0.215752
28.7,0.1776713
28.75,0.1301782
28.8,0.1003571
28.85,4.703312E-02
28.9,0.0310995
28.95,3.064006E-02
29,1.525939E-02
29.05,1.511949E-02
29.1,0.0350825
29.15,4.713902E-02
29.2,0.0627506
29.25,7.850647E-02
29.3,9.279583E-02
29.35,0.1060452
29.4,0.1434377
29.45,0.1967318
29.5,0.2535822
29.55,0.3214509
29.6,0.3761544
29.65,0.405426
29.7,0.3888664
29.75,0.3507791
29.8,0.2923063
29.85,0.214537
29.9,0.1484316
29.95,0.1004521
30,6.186803E-02
30.05,3.474499E-02
30.1,0.0320434
30.15,0.0519653
30.2,4.805022E-02
30.25,3.474966E-02
30.3,3.589254E-02
30.35,4.255231E-02
30.4,7.665764E-02
30.45,0.1122985
30.5,0.1263546
30.55,0.118168
30.6,7.879829E-02
30.65,7.054609E-02
30.7,5.682042E-02
30.75,0.0605103
30.8,6.118317E-02
30.85,5.778111E-02
30.9,6.820676E-02
30.95,6.950685E-02
31,0.0718539
31.05,6.885885E-02
31.1,5.910059E-02
31.15,4.124986E-02
31.2,2.664111E-02
31.25,2.674405E-02
31.3,2.592735E-02
31.35,0.0469343
31.4,5.414341E-02
31.45,6.020425E-02
31.5,0.0483036
31.55,0.0332838
31.6,2.784459E-02
31.65,2.170531E-02
31.7,2.664571E-02
31.75,4.802144E-02
31.8,7.375927E-02
31.85,9.917182E-02
31.9,0.1199992
31.95,0.1547716
32,0.1791894
32.05,0.1954088
32.1,0.2083793
32.15,0.2041889
32.2,0.1731293
32.25,0.1550233
32.3,0.1502286
32.35,0.1519168
32.4,0.1169319
32.45,8.327213E-02
32.5,4.770494E-02
32.55,4.255799E-02
32.6,7.292863E-02
32.65,0.1216824
32.7,0.1803481
32.75,0.231366
32.8,0.2485849
32.85,0.2307221
32.9,0.188851
32.95,0.1491949
33,0.1016649
33.05,7.050964E-02
33.1,6.699553E-02
33.15,6.526141E-02
33.2,6.457478E-02
33.25,5.366457E-02
33.3,6.563568E-02
33.35,7.177079E-02
33.4,4.725553E-02
33.45,0.0446848
33.5,4.629567E-02
33.55,4.456167E-02
33.6,4.859841E-02
33.65,5.284986E-02
33.7,5.385792E-02
33.75,5.411148E-02
33.8,5.963437E-02
33.85,6.933299E-02
33.9,7.043388E-02
33.95,7.466368E-02
34,8.261786E-02
34.05,8.933178E-02
34.1,0.1117287
34.15,0.1145614
34.2,0.118475
34.25,0.1233645
34.3,0.1392813
34.35,0.1570716
34.4,0.170272
34.45,0.1840229
34.5,0.1916504
34.55,0.1843763
34.6,0.1890836
34.65,0.2052449
34.7,0.2164343
34.75,0.2184963
34.8,0.2098738
34.85,0.1888321
34.9,0.1584367
34.95,0.1498549
35,0.1508465
35.05,0.1566074
35.1,0.1660824
35.15,0.1788504
35.2,0.1624546
35.25,0.1565065
35.3,0.1694851
35.35,0.1962391
35.4,0.228773
35.45,0.2579666
35.5,0.2760398
35.55,0.2761742
35.6,0.2816429
35.65,0.3204034
35.7,0.3523273
35.75,0.3633517
35.8,0.3469117
35.85,0.331943
35.9,0.3059106
35.95,0.2930056
36,0.3174076
36.05,0.3170578
36.1,0.304332
36.15,0.2927717
36.2,0.2762126
36.25,0.2544704
36.3,0.240914
36.35,0.2435251
36.4,0.2357262
36.45,0.2289816
36.5,0.2205136
36.55,0.2120003
36.6,0.2019029
36.65,0.2186698
36.7,0.2538264
36.75,0.283965
36.8,0.325198
36.85,0.3362609
36.9,0.3240376
36.95,0.3571243
37,0.3627204
37.05,0.3672622
37.1,0.3600602
37.15,0.3525312
37.2,0.3280907
37.25,0.3115898
37.3,0.316651
37.35,0.3215109
37.4,0.329183
37.45,0.3381717
37.5,0.3602842
37.55,0.3822407
37.6,0.4149837
37.65,0.457464
37.7,0.4587829
37.75,0.4560234
37.8,0.4137726
37.85,0.4043994
37.9,0.3808511
37.95,0.389295
38,0.4016476
38.05,0.3966688
