""	"RNA Area:"	"RNA Concentration:"	"rRNA Ratio [28s / 18s]:"	"RNA Integrity Number (RIN):"	""
"Sample 1"	"449.0805"	"301.7027"	"0.1605226"	"N/A   (B.02.08)"	"9.4430553961175"
"Sample 2"	"573.0909"	"385.0158"	"0.2076558"	"7.2   (B.02.08)"	"9.47738444490644"
"Sample 3"	"797.5069"	"535.7837"	"0.1528657"	"7.1   (B.02.08)"	"9.3948703863017"
"Sample 4"	"284.1209"	"190.879"	"6.550185E-02"	"N/A   (B.02.08)"	"9.34496430350821"
"Sample 5"	"295.4629"	"198.4988"	"6.825959E-02"	"N/A   (B.02.08)"	"9.67853945024937"
"Sample 6"	"327.9959"	"220.3553"	"7.526568E-02"	"6.8   (B.02.08)"	"9.07396047108585"
"Sample 7"	"321.4872"	"215.9826"	"0.5568802"	"N/A   (B.02.08)"	"9.42285430731926"
"Sample 8"	"170.1767"	"114.3287"	"0.2590298"	"N/A   (B.02.08)"	"9.98167493750926"
"Sample 9"	"327.3555"	"219.925"	"0.1060195"	"6.8   (B.02.08)"	"9.73951104742045"
"Sample 10"	"303.3413"	"203.7918"	"0.6258707"	"N/A   (B.02.08)"	"9.80362709803247"
"Sample 11"	"199.6546"	"134.1326"	"0.5544984"	"N/A   (B.02.08)"	"9.36731162754985"
"Sample 12"	"378.7075"	"254.4245"	"0.5285393"	"N/A   (B.02.08)"	"9.41168868342837"
"Sample 1"	"261.997"	"207.3359"	"0.1582336"	"3.9   (B.02.08)"	NA
"Sample 2"	"194.537"	"153.9503"	"0.113287"	"N/A   (B.02.08)"	NA
"Sample 3"	"225.9752"	"178.8295"	"0.1190483"	"N/A   (B.02.08)"	NA
"Sample 4"	"300.4527"	"237.7686"	"0.3030322"	"3.4   (B.02.08)"	NA
"Sample 5"	"214.4732"	"169.7271"	"0.1980132"	"3.8   (B.02.08)"	NA
"Sample 6"	"243.1486"	"192.4199"	"0.4215679"	"N/A   (B.02.08)"	NA
"Sample 7"	"195.0196"	"154.3322"	"0.1928187"	"4.2   (B.02.08)"	NA
"Sample 8"	"158.4339"	"125.3795"	"0.1201053"	"6.9   (B.02.08)"	NA
"Sample 9"	"176.9252"	"140.0129"	"0.1095172"	"N/A   (B.02.08)"	NA
"Sample 10"	"237.9133"	"188.2769"	"6.227217E-02"	"N/A   (B.02.08)"	NA
"Sample 11"	"130.8241"	"103.5299"	"0.1760016"	"4.2   (B.02.08)"	NA
"Sample 12"	"186.3331"	"147.458"	"0.1472737"	"N/A   (B.02.08)"	NA
"Sample 1"	"101.6482"	"96.00577"	"0.1761922"	"4.2   (B.02.08)"	NA
"Sample 2"	"114.835"	"108.4606"	"0.1949506"	"3.9   (B.02.08)"	NA
"Sample 3"	"105.1868"	"99.34795"	"0.6565827"	"N/A   (B.02.08)"	NA
"Sample 4"	"90.51497"	"85.49054"	"6.971637E-02"	"N/A   (B.02.08)"	NA
"Sample 5"	"37.06644"	"35.0089"	"0.1515636"	"N/A   (B.02.08)"	NA
"Sample 6"	"101.9646"	"96.3046"	"8.757926E-02"	"5   (B.02.08)"	NA
"Sample 7"	"104.9981"	"99.1697"	"4.829942E-02"	"N/A   (B.02.08)"	NA
"Sample 8"	"37.17896"	"35.11518"	"0"	"N/A   (B.02.08)"	NA
"Sample 9"	"64.88704"	"61.2852"	"0.1233927"	"N/A   (B.02.08)"	NA
"Sample 10"	"112.6574"	"106.4039"	"0.1217237"	"N/A   (B.02.08)"	NA
"Sample 11"	"98.14479"	"92.69683"	"0.1073992"	"6.7   (B.02.08)"	NA
"Sample 12"	"148.353"	"140.118"	"6.150715E-02"	"N/A   (B.02.08)"	NA
"Sample 1"	"141.0768"	"91.42347"	"2.126452"	"10   (B.02.08)"	NA
"Sample 2"	"85.38527"	"55.33311"	"1.688643"	"9.5   (B.02.08)"	NA
"Sample 3"	"164.4522"	"106.5716"	"1.821291"	"9.7   (B.02.08)"	NA
"Sample 4"	"907.2956"	"587.9642"	"1.784993"	"9.1   (B.02.08)"	NA
"Sample 5"	"682.7016"	"442.4182"	"1.547739"	"9.1   (B.02.08)"	NA
"Sample 6"	"636.1806"	"412.2708"	"1.359596"	"7.8   (B.02.08)"	NA
"Sample 7"	"684.5807"	"443.636"	"1.064555"	"7.2   (B.02.08)"	NA
"Sample 8"	"124.5232"	"80.69606"	"4.964848E-02"	"N/A   (B.02.08)"	NA
"Sample 9"	"133.1553"	"86.29"	"7.076407E-02"	"N/A   (B.02.08)"	NA
"Sample 10"	"122.063"	"79.10178"	"0.1206155"	"N/A   (B.02.08)"	NA
"Sample 11"	"141.8918"	"91.95161"	"0.1492946"	"N/A   (B.02.08)"	NA
"Sample 12"	"148.4332"	"96.19068"	"0.056326"	"N/A   (B.02.08)"	NA
"Sample 1"	"181.7638"	"141.3199"	"7.166912E-02"	"N/A   (B.02.08)"	NA
"Sample 2"	"157.5629"	"122.5038"	"0.1178524"	"N/A   (B.02.08)"	NA
"Sample 3"	"64.79077"	"50.37429"	"0.3983012"	"N/A   (B.02.08)"	NA
"Sample 4"	"115.4216"	"89.73934"	"8.927911E-02"	"N/A   (B.02.08)"	NA
"Sample 5"	"135.4046"	"105.276"	"4.862953E-02"	"N/A   (B.02.08)"	NA
"Sample 6"	"24.49642"	"19.04576"	"0"	"N/A   (B.02.08)"	NA
"Sample 7"	"58.29942"	"45.32732"	"0.3690897"	"N/A   (B.02.08)"	NA
"Sample 8"	"27.34115"	"21.25752"	"0.2307146"	"N/A   (B.02.08)"	NA
"Sample 9"	"193.5795"	"150.5065"	"0.5112709"	"N/A   (B.02.08)"	NA
"Sample 10"	"257.7735"	"200.4168"	"0.8676718"	"N/A   (B.02.08)"	NA
"Sample 11"	"209.2607"	"162.6985"	"0.1049297"	"N/A   (B.02.08)"	NA
"Sample 12"	"3.064942"	"2.382967"	"0"	"N/A   (B.02.08)"	NA
