Sample.Number	Sample Name	BA RNA Concentration:[ng/uL]	ND ng/ul	260/280	260/230
1	WT control 	301.7027	321.71	2.24	2.5
2	WT control 	385.0158	402.6	2.24	2.47
3	WT control 	535.7837	516.6	2.29	2.16
4	1K 3hrpi 1	190.879	217.13	2.24	2.3
5	1K 3hrpi 2	198.4988	201.43	2.24	2.54
6	1K 3hrpi 3	220.3553	205.67	2.25	1.81
7	1K 6hrpi 1	215.9826	199.88	2.24	2.2
8	1K 6hrpi 2	114.3287	151.94	2.26	1.61
9	1K 6hrpi 3	219.925	224.39	2.24	2
10	1K 9hrpi 1	203.7918	225.3	2.26	1.73
11	1K 9hrpi 2	134.1326	159.99	2.25	1.23
12	1K 9hrpi 3	254.4245	214.11	2.23	2.46
13	1K 12hrpi 1	207.3359	221.37	2.22	2.48
14	1K 12hrpi 2	153.9503	169.5	2.23	2.52
15	1K 12hrpi 3	178.8295	195.97	2.25	2.37
16	1K 1dpi 1	237.7686	254.04	2.24	2.58
17	1K 1dpi 2	169.7271	187.29	2.25	2.53
18	1K 1dpi 3	192.4199	192.21	2.23	2.44
19	1K 2dpi 1	154.3322	172.01	2.24	2.35
20	1K 2dpi 2	125.3795	133.69	2.24	2.26
21	1K 2dpi 3	140.0129	135.07	2.25	2.19
22	1K 3dpi 1	188.2769	178.2	2.23	1.99
23	1K 3dpi 2	103.5299	113.64	2.28	2.39
24	1K 3dpi 3	147.458	135.94	2.25	2.18
25	1K 4dpi 1	96.00577	125.77	2.21	2.33
26	1K 4dpi 2	108.4606	122.08	2.27	2.24
27	1K 4dpi 3	99.34795	125.56	2.25	2.28
28	1K 5dpi 1	85.49054	96.64	2.29	2.27
29	1K 5dpi 2	35.0089	40.97	2.08	0.6
30	1K 5dpi 3	96.3046	101.48	2.28	1.9
31	1K 6dpi 1	99.1697	100.66	2.19	0.89
32	1K 6dpi 2	35.11518	35.84	2.18	0.4
33	1K 6dpi 3	61.2852	65.45	2.16	0.67
34	1K 7dpi 1	106.4039	99.44	2.25	0.76
35	1K 7dpi 2	92.69683	97.19	2.25	1.91
36	1K 7dpi 3	140.118	129.47	2.24	2.12
37	1K 8dpi 1	80.69606	84.57	2.2	1.99
38	1K 8dpi 2	86.29	81.3	2.25	1.32
39	1K 8dpi 3	79.10178	84.05	2.28	1.87
40	1K 9dpi 1	91.95161	107.1	2.23	2.36
41	1K 9dpi 2	96.19068	92.13	2.3	1.88
42	1K 9dpi 3	141.3199	122.38	2.2	0.96
43	1K 10dpi 1	122.5038	120.04	2.25	2.24
44	1K 10dpi 2	50.37429	46.23	2.21	0.39
45	1K 10dpi 3	89.73934	81.97	2.26	1.15
46	1K 14dpi 1	105.276	102.67	2.28	2.22
47	1K 14dpi 2_250uL_TRIZOL	19.04576	15.3	2.27	0.8
47	1K 14dpi 2	45.32732	42.15	2.29	1.71
48	1K 14dpi 3	21.25752	24.03	2.22	0.22
49	6K 7dpi 1_250uL_TRIZOL	150.5065	143.98	2.27	1.32
50	6K 7dpi 2 	200.4168	185.07	2.29	2.39
51	6K 7dpi 3	162.6985	161.41	2.39	2.74
