""	"RNA Area:"	"RNA Concentration:"	"rRNA Ratio [28s / 18s]:"	"RNA Integrity Number (RIN):"	"Sample.Number"	"Sample.Name"	"BA.Chip"	"BA.Lane"
"1"	"449.0805"	"301.7027"	"0.1605226"	"N/A   (B.02.08)"	1	"WT control "	1	1
"2"	"573.0909"	"385.0158"	"0.2076558"	"7.2   (B.02.08)"	2	"WT control "	1	2
"3"	"797.5069"	"535.7837"	"0.1528657"	"7.1   (B.02.08)"	3	"WT control "	1	3
"4"	"284.1209"	"190.879"	"6.550185E-02"	"N/A   (B.02.08)"	4	"1K 3hrpi 1"	1	4
"5"	"295.4629"	"198.4988"	"6.825959E-02"	"N/A   (B.02.08)"	5	"1K 3hrpi 2"	1	5
"6"	"327.9959"	"220.3553"	"7.526568E-02"	"6.8   (B.02.08)"	6	"1K 3hrpi 3"	1	6
"7"	"321.4872"	"215.9826"	"0.5568802"	"N/A   (B.02.08)"	7	"1K 6hrpi 1"	1	7
"8"	"170.1767"	"114.3287"	"0.2590298"	"N/A   (B.02.08)"	8	"1K 6hrpi 2"	1	8
"9"	"327.3555"	"219.925"	"0.1060195"	"6.8   (B.02.08)"	9	"1K 6hrpi 3"	1	9
"10"	"303.3413"	"203.7918"	"0.6258707"	"N/A   (B.02.08)"	10	"1K 9hrpi 1"	1	10
"11"	"199.6546"	"134.1326"	"0.5544984"	"N/A   (B.02.08)"	11	"1K 9hrpi 2"	1	11
"12"	"378.7075"	"254.4245"	"0.5285393"	"N/A   (B.02.08)"	12	"1K 9hrpi 3"	1	12
"13"	"261.997"	"207.3359"	"0.1582336"	"3.9   (B.02.08)"	13	"1K 12hrpi 1"	2	1
"14"	"194.537"	"153.9503"	"0.113287"	"N/A   (B.02.08)"	14	"1K 12hrpi 2"	2	2
"15"	"225.9752"	"178.8295"	"0.1190483"	"N/A   (B.02.08)"	15	"1K 12hrpi 3"	2	3
"16"	"300.4527"	"237.7686"	"0.3030322"	"3.4   (B.02.08)"	16	"1K 1dpi 1"	2	4
"17"	"214.4732"	"169.7271"	"0.1980132"	"3.8   (B.02.08)"	17	"1K 1dpi 2"	2	5
"18"	"243.1486"	"192.4199"	"0.4215679"	"N/A   (B.02.08)"	18	"1K 1dpi 3"	2	6
"19"	"195.0196"	"154.3322"	"0.1928187"	"4.2   (B.02.08)"	19	"1K 2dpi 1"	2	7
"20"	"158.4339"	"125.3795"	"0.1201053"	"6.9   (B.02.08)"	20	"1K 2dpi 2"	2	8
