Module:	Nucleic Acid																																																																																																																																																	
Path:	10 mm																																																																																																																																																	
Software:	3.7.1																																																																																																																																																	
Firmware:																																																																																																																																																		
Sample Number	Sample Name	BA Chip	BA Lane	ng/ul	A260	A280	260/280	260/230	Constant	Cursor Pos.	Cursor abs.	340 raw	Measurement Type	Serial #	Config.	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255	256	257	258	259	260	261	262	263	264	265	266	267	268	269	270	271	272	273	274	275	276	277	278	279	280	281	282	283	284	285	286	287	288	289	290	291	292	293	294	295	296	297	298	299	300	301	302	303	304	305	306	307	308	309	310	311	312	313	314	315	316	317	318	319	320	321	322	323	324	325	326	327	328	329	330	331	332	333	334	335	336	337	338	339	340	341	342	343	344	345	346	347	348	349	350
1	WT control 	1	1	321.71	8.043	3.586	2.24	2.5	40	230	3.216	0.338	 Measure 	 USB2G5551 B2345 	 0.999107/1.75/80/16 	4.633	4.271	4.047	3.777	3.541	3.423	3.294	3.239	3.221	3.208	3.216	3.229	3.272	3.336	3.45	3.549	3.73	3.958	4.146	4.488	4.811	4.982	5.226	5.524	5.744	6.031	6.27	6.432	6.68	6.899	7.019	7.187	7.402	7.541	7.717	7.857	7.941	8.048	8.085	8.068	8.043	7.98	7.899	7.815	7.624	7.341	7.161	6.915	6.647	6.472	6.226	5.977	5.8	5.53	5.259	4.976	4.763	4.422	4.092	3.88	3.586	3.294	3.095	2.812	2.561	2.327	2.168	1.919	1.693	1.561	1.366	1.165	1.043	0.883	0.737	0.609	0.535	0.446	0.369	0.325	0.261	0.207	0.158	0.13	0.098	0.075	0.059	0.041	0.028	0.019	0.015	0.01	0.004	0.001	0	-0.002	-0.001	0	0.001	0.004	0.006	0.006	0.009	0.009	0.009	0.007	0.01	0.008	0.008	0.005	0.001	0.001	0.002	-0.001	-0.002	-0.003	-0.002	-0.001	0.001	0.002	0	0.002	0.002	0.005	0.005	0.008	0.006	0.008	0.01	0.01	0.012
2	WT control 	1	2	402.6	10.065	4.494	2.24	2.47	40	230	4.071	0.494	 Measure 	 USB2G5551 B2345 	 0.999107/1.75/80/16 	5.699	5.297	5.046	4.721	4.445	4.31	4.166	4.098	4.079	4.064	4.071	4.091	4.141	4.216	4.353	4.48	4.7	4.978	5.209	5.632	6.036	6.246	6.548	6.916	7.202	7.564	7.865	8.071	8.385	8.662	8.813	9.017	9.261	9.426	9.636	9.825	9.929	10.063	10.104	10.096	10.065	9.988	9.879	9.767	9.529	9.18	8.955	8.644	8.304	8.088	7.789	7.479	7.265	6.926	6.587	6.239	5.974	5.549	5.135	4.866	4.494	4.124	3.873	3.515	3.201	2.911	2.711	2.395	2.111	1.946	1.703	1.454	1.302	1.098	0.915	0.757	0.664	0.553	0.454	0.396	0.315	0.246	0.186	0.151	0.111	0.082	0.064	0.044	0.029	0.014	0.008	0.002	-0.003	-0.004	-0.007	-0.008	-0.003	-0.006	-0.006	-0.004	-0.002	-0.001	0	-0.001	-0.003	0.001	0.003	0.003	0.003	0.002	0.005	0.006	0.006	0.005	0.004	0.003	0.003	0.001	0	0.001	0	0.002	0	0.003	0.005	0.009	0.011	0.014	0.014	0.014	0.015
3	WT control 	1	3	516.6	12.915	5.639	2.29	2.16	40	230	5.988	0.808	 Measure 	 USB2G5551 B2345 	 0.999107/1.75/80/16 	9.332	8.619	8.203	7.641	7.151	6.831	6.417	6.193	6.109	6.033	5.988	5.971	5.955	5.983	6.1	6.208	6.432	6.723	6.976	7.431	7.857	8.097	8.457	8.887	9.172	9.558	9.929	10.191	10.605	10.964	11.165	11.468	11.947	12.268	12.617	12.852	12.959	12.987	12.986	12.956	12.915	12.811	12.664	12.526	12.244	11.906	11.637	11.222	10.747	10.43	10	9.585	9.293	8.834	8.371	7.918	7.589	7.046	6.502	6.139	5.639	5.171	4.86	4.389	3.951	3.571	3.318	2.916	2.551	2.337	2.013	1.697	1.51	1.252	1.008	0.804	0.691	0.542	0.428	0.355	0.259	0.182	0.12	0.084	0.041	0	-0.017	-0.047	-0.071	-0.074	-0.08	-0.084	-0.094	-0.099	-0.096	-0.085	-0.083	-0.089	-0.09	-0.08	-0.071	-0.07	-0.075	-0.067	-0.072	-0.066	-0.06	-0.058	-0.059	-0.052	-0.047	-0.053	-0.043	-0.042	-0.037	-0.03	-0.028	-0.02	-0.003	0.006	0	-0.016	-0.019	-0.027	-0.03	-0.04	-0.046	-0.047	-0.036	-0.02	-0.022
4	1K 3hrpi 1	1	4	217.13	5.428	2.419	2.24	2.3	40	230	2.358	0.228	 Measure 	 USB2G5551 B2345 	 0.999107/1.75/80/16 	3.521	3.255	3.098	2.882	2.693	2.59	2.472	2.41	2.389	2.366	2.358	2.36	2.373	2.4	2.456	2.512	2.616	2.758	2.869	3.082	3.287	3.393	3.551	3.741	3.882	4.069	4.228	4.339	4.509	4.658	4.741	4.861	5.022	5.121	5.249	5.335	5.386	5.441	5.457	5.446	5.428	5.388	5.335	5.277	5.149	4.97	4.849	4.681	4.491	4.369	4.202	4.032	3.915	3.729	3.547	3.358	3.215	2.985	2.762	2.619	2.419	2.219	2.085	1.893	1.725	1.571	1.462	1.296	1.145	1.057	0.929	0.796	0.715	0.605	0.508	0.424	0.375	0.315	0.26	0.232	0.19	0.155	0.121	0.101	0.08	0.063	0.054	0.04	0.03	0.019	0.017	0.013	0.009	0.009	0.006	0.005	0.009	0.009	0.009	0.011	0.013	0.012	0.013	0.011	0.01	0.01	0.008	0.007	0.009	0.006	0.004	0.004	0.006	0.004	0.003	0.001	0.001	0.002	0.003	0.003	0	0.002	0.001	0.001	0.001	0.002	0.003	0.005	0.004	0.005	0.006
5	1K 3hrpi 2	1	5	201.43	5.036	2.246	2.24	2.54	40	230	1.985	0.205	 Measure 	 USB2G5551 B2345 	 0.999107/1.75/80/16 	2.936	2.706	2.565	2.374	2.22	2.137	2.04	2	1.989	1.979	1.985	1.994	2.021	2.062	2.142	2.206	2.321	2.466	2.581	2.793	2.991	3.095	3.247	3.433	3.569	3.746	3.899	4.004	4.168	4.304	4.383	4.494	4.648	4.747	4.867	4.951	4.996	5.048	5.061	5.054	5.036	4.997	4.944	4.889	4.773	4.616	4.506	4.347	4.172	4.056	3.904	3.747	3.637	3.461	3.288	3.116	2.981	2.772	2.565	2.431	2.246	2.063	1.937	1.757	1.602	1.456	1.356	1.201	1.059	0.978	0.86	0.738	0.661	0.56	0.469	0.392	0.347	0.291	0.242	0.214	0.175	0.142	0.112	0.093	0.072	0.055	0.043	0.033	0.023	0.014	0.011	0.008	0.006	0.007	0.008	0.007	0.008	0.005	0.004	0.004	0.003	0.002	0.005	0.004	0.006	0.008	0.009	0.007	0.009	0.008	0.006	0.006	0.006	0.005	0	0	-0.002	-0.002	0	0	0	0.002	0.003	0.003	0.005	0.003	0.003	0.003	0.001	0.001	0.001
6	1K 3hrpi 3	1	6	205.67	5.142	2.288	2.25	1.81	40	230	2.848	0.22	 Measure 	 USB2G5551 B2345 	 0.999107/1.75/80/16 	4.397	4.125	3.949	3.695	3.445	3.298	3.11	3.003	2.951	2.893	2.848	2.82	2.789	2.755	2.726	2.725	2.756	2.832	2.909	3.06	3.218	3.302	3.432	3.599	3.722	3.885	4.028	4.124	4.278	4.413	4.489	4.598	4.748	4.843	4.963	5.055	5.099	5.15	5.165	5.158	5.142	5.102	5.044	4.986	4.87	4.703	4.59	4.424	4.246	4.132	3.973	3.816	3.701	3.524	3.347	3.169	3.034	2.819	2.607	2.472	2.288	2.102	1.978	1.797	1.638	1.493	1.392	1.233	1.088	1.004	0.881	0.755	0.677	0.572	0.479	0.397	0.35	0.293	0.241	0.211	0.17	0.133	0.101	0.082	0.058	0.041	0.029	0.018	0.009	0.001	0	-0.003	-0.005	-0.005	-0.003	-0.006	-0.005	-0.006	-0.006	-0.005	-0.006	-0.007	-0.005	-0.002	-0.001	-0.001	0.001	-0.001	0.002	-0.002	-0.004	-0.006	-0.007	-0.007	-0.009	-0.007	-0.008	-0.007	-0.004	-0.002	0	-0.001	-0.002	-0.004	-0.004	-0.003	-0.005	-0.005	-0.007	-0.007	-0.004
7	1K 6hrpi 1	1	7	199.88	4.997	2.229	2.24	2.2	40	230	2.272	0.222	 Measure 	 USB2G5551 B2345 	 0.999107/1.75/80/16 	3.483	3.232	3.072	2.855	2.667	2.553	2.418	2.344	2.317	2.289	2.272	2.267	2.27	2.282	2.321	2.364	2.45	2.568	2.665	2.851	3.026	3.122	3.263	3.435	3.563	3.731	3.88	3.98	4.139	4.274	4.35	4.461	4.616	4.714	4.832	4.914	4.961	5.015	5.026	5.016	4.997	4.961	4.908	4.857	4.742	4.577	4.467	4.306	4.133	4.019	3.864	3.709	3.598	3.426	3.256	3.086	2.953	2.743	2.54	2.408	2.229	2.049	1.926	1.747	1.594	1.453	1.353	1.2	1.059	0.976	0.86	0.739	0.662	0.561	0.471	0.391	0.345	0.288	0.236	0.208	0.168	0.132	0.098	0.079	0.059	0.046	0.036	0.024	0.014	0.008	0.007	0.004	0.002	0.001	0.001	0.001	0.004	0.002	0.004	0.003	0.003	0.002	0.002	-0.001	-0.001	-0.002	-0.001	-0.004	-0.003	-0.004	-0.007	-0.006	-0.003	-0.002	-0.004	-0.005	-0.004	-0.003	0.002	0.002	0	0.002	0.001	0.001	0.001	0.001	-0.002	-0.003	-0.002	-0.003	-0.002
8	1K 6hrpi 2	1	8	151.94	3.798	1.681	2.26	1.61	40	230	2.365	0.212	 Measure 	 USB2G5551 B2345 	 0.999107/1.75/80/16 	3.728	3.512	3.365	3.156	2.948	2.819	2.645	2.534	2.484	2.418	2.365	2.33	2.284	2.228	2.17	2.15	2.152	2.193	2.237	2.33	2.431	2.488	2.578	2.691	2.77	2.884	2.987	3.06	3.171	3.269	3.325	3.41	3.531	3.608	3.695	3.758	3.791	3.818	3.823	3.813	3.798	3.768	3.729	3.686	3.594	3.481	3.396	3.275	3.142	3.053	2.934	2.815	2.73	2.596	2.465	2.331	2.232	2.073	1.917	1.817	1.681	1.545	1.452	1.318	1.201	1.095	1.019	0.901	0.792	0.731	0.644	0.551	0.493	0.415	0.346	0.287	0.251	0.209	0.168	0.147	0.115	0.091	0.067	0.053	0.037	0.027	0.02	0.013	0.006	0.002	0.001	0	0	0.001	0.001	0.001	0.003	0.002	0.001	0	-0.002	-0.004	-0.003	-0.005	-0.005	-0.004	-0.003	-0.003	0.001	0	0	0.001	0.002	0.003	0	-0.002	-0.004	-0.003	-0.002	0	0	-0.001	-0.001	-0.003	-0.002	0	-0.001	-0.002	-0.003	-0.002	0
9	1K 6hrpi 3	1	9	224.39	5.61	2.504	2.24	2	40	230	2.809	0.22	 Measure 	 USB2G5551 B2345 	 0.999107/1.75/80/16 	4.275	3.988	3.809	3.55	3.318	3.185	3.018	2.925	2.887	2.839	2.809	2.792	2.78	2.772	2.782	2.806	2.876	2.99	3.088	3.277	3.466	3.568	3.718	3.906	4.046	4.231	4.391	4.502	4.673	4.818	4.901	5.022	5.187	5.288	5.414	5.506	5.561	5.623	5.642	5.629	5.61	5.569	5.508	5.45	5.319	5.138	5.016	4.84	4.645	4.519	4.348	4.173	4.05	3.856	3.663	3.469	3.321	3.088	2.86	2.712	2.504	2.302	2.162	1.962	1.789	1.628	1.517	1.345	1.186	1.095	0.963	0.827	0.741	0.629	0.528	0.438	0.388	0.325	0.267	0.232	0.187	0.148	0.11	0.091	0.067	0.049	0.039	0.028	0.017	0.009	0.007	0.001	-0.002	-0.003	-0.005	-0.006	-0.006	-0.007	-0.002	-0.002	-0.004	-0.004	-0.002	-0.003	-0.002	-0.002	-0.004	-0.004	-0.002	-0.005	-0.005	-0.004	-0.005	-0.006	-0.008	-0.008	-0.006	-0.006	-0.004	-0.003	0	0.001	-0.001	-0.002	-0.003	-0.004	-0.006	-0.008	-0.011	-0.01	-0.009
